iter	Passed	Remaining
198	27418	1350394
199	27575	1351211
200	27719	1351367
201	27906	1353613
202	28042	1353344
203	28185	1353455
204	28318	1353095
205	28454	1352813
206	28594	1352785
207	28742	1353096
208	28865	1352280
209	29001	1352015
210	29139	1351891
211	29276	1351701
212	29404	1351074
213	29543	1350976
214	29690	1351246
215	29824	1350939
216	29968	1351060
217	30110	1351112
218	30247	1350931
219	30380	1350558
220	30514	1350226
221	30638	1349466
222	30789	1349913
223	30928	1349829
224	31071	1349903
225	31199	1349329
226	31333	1349012
227	31473	1348933
228	31604	1348524
229	31747	1348572
230	31879	1348181
231	32013	1347861
232	32151	1347737
233	32302	1348165
234	32436	1347854
235	32568	1347433
236	32724	1348037
237	32873	1348378
238	33007	1348060
239	33152	1348215
240	33296	1348299
241	33427	1347875
242	33564	1347695
243	33690	1347075
244	33847	1347666
245	33986	1347564
246	34129	1347638
247	34274	1347769
248	34419	1347875
249	34558	1347796
250	34708	1348098
251	34845	1347903
252	34992	1348108
253	35131	1347980
254	35267	1347775
255	35400	1347438
256	35540	1347360
257	35695	1347847
258	35860	1348725
259	36005	1348819
260	36133	1348291
261	36267	1347980
262	36393	1347389
263	36532	1347271
264	36665	1346936
265	36811	1347064
266	36950	1346949
267	37078	1346465
268	37218	1346381
269	37358	1346280
270	37492	1345979
271	37620	1345489
272	37755	1345224
273	37894	1345124
274	38032	1344958
275	38160	1344471
276	38310	1344725
277	38446	1344526
278	38586	1344437
279	38736	1344698
280	38890	1345102
281	39026	1344878
282	39138	1343852
283	39268	1343438
284	39403	1343162
285	39476	1340810
286	39608	1340486
287	39752	1340542
288	39893	1340518
289	40037	1340551
290	40182	1340650
291	40336	1341057
292	40471	1340816
293	40611	1340739
294	40752	1340685
295	40884	1340338
296	41014	1339943
297	41152	1339801
298	41281	1339379
299	41400	1338621
300	41536	1338420
301	41684	1338604
302	41833	1338806
303	41959	1338280
304	42102	1338302
305	42251	1338513
306	42384	1338208
307	42516	1337894
308	42645	1337460
309	42783	1337319
310	42923	1337255
311	43049	1336737
312	43188	1336627
313	43321	1336353
314	43466	1336411
315	43604	1336276
316	43737	1336003
317	43860	1335409
318	44001	1335370
319	44144	1335368
320	44287	1335397
321	44428	1335333
322	44582	1335666
323	44720	1335535
324	44857	1335374
325	44997	1335305
326	45128	1334951
327	45269	1334898
328	45407	1334749
329	45546	1334639
330	45689	1334660
331	45820	1334311
332	45947	1333847
333	46066	1333165
334	46200	1332920
335	46348	1333080
336	46479	1332737
337	46616	1332561
338	46758	1332548
339	46886	1332117
340	47018	1331827
341	47150	1331520
342	47298	1331665
343	47438	1331598
344	47579	1331530
345	47702	1330983
346	47846	1331005
347	47988	1330981
348	48119	1330660
349	48262	1330654
350	48391	1330286
351	48524	1330024
352	48655	1329689
353	48800	1329737
