iter	Passed	Remaining
137	14331	89522
138	14455	89540
139	14577	89546
140	14710	89621
141	14822	89560
142	14935	89509
143	15035	89380
144	15132	89230
145	15236	89120
146	15340	89015
147	15440	88889
148	15539	88752
149	15646	88663
150	15744	88521
151	15852	88441
152	15981	88470
153	16079	88331
154	16183	88227
155	16289	88132
156	16391	88015
157	16507	87970
158	16617	87895
159	16729	87828
160	16830	87708
161	16905	87449
162	17009	87342
163	17106	87199
164	17219	87142
165	17331	87077
166	17431	86948
167	17543	86879
168	17649	86785
169	17751	86667
170	17855	86560
171	17969	86506
172	18070	86383
173	18175	86280
174	18294	86246
175	18395	86123
176	18494	85995
177	18602	85904
178	18721	85868
179	18830	85782
180	18948	85737
181	19076	85738
182	19197	85708
183	19311	85641
184	19423	85569
185	19537	85501
186	19661	85478
187	19776	85417
188	19881	85312
189	19988	85212
190	20080	85051
191	20170	84882
192	20277	84787
193	20379	84670
194	20495	84611
195	20596	84489
196	20690	84338
197	20783	84181
198	20883	84057
199	20980	83922
200	21083	83809
201	21186	83696
202	21299	83624
203	21407	83531
204	21509	83414
205	21618	83325
206	21721	83213
207	21823	83097
208	21928	82994
209	22021	82842
210	22140	82790
211	22240	82666
212	22342	82553
213	22447	82447
214	22553	82347
215	22652	82218
216	22755	82107
217	22862	82011
218	22960	81882
219	23052	81732
220	23145	81583
221	23245	81464
222	23343	81335
223	23438	81197
224	23536	81068
225	23650	80996
226	23752	80882
227	23858	80784
228	23965	80687
229	24076	80604
230	24180	80498
231	24290	80410
232	24396	80309
233	24511	80237
234	24628	80172
235	24744	80105
236	24857	80027
237	24958	79910
238	25060	79794
239	25153	79651
240	25259	79550
241	25356	79421
242	25458	79309
243	25551	79167
244	25652	79053
245	25756	78943
246	25859	78833
247	25950	78690
248	26055	78584
249	26164	78493
250	26261	78364
251	26358	78240
252	26461	78130
253	26554	77989
254	26655	77877
255	26756	77759
256	26856	77643
257	26960	77536
258	27069	77444
259	27163	77312
260	27262	77191
261	27349	77038
262	27450	76924
263	27550	76808
264	27651	76692
265	27748	76568
266	27834	76413
267	27937	76307
268	28038	76194
269	28141	76087
270	28239	75966
271	28333	75832
272	28428	75705
273	28537	75613
274	28638	75502
275	28740	75391
276	28844	75287
277	28960	75213
278	29083	75158
279	29201	75089
280	29310	74996
281	29417	74900
282	29539	74840
283	29653	74760
284	29753	74643
285	29855	74533
286	29960	74431
287	30051	74295
288	30140	74151
289	30242	74041
290	30341	73924
291	30438	73802
292	30545	73706
293	30649	73600
294	30751	73490
295	30854	73383
296	30950	73260
297	31034	73109
298	31153	73038
299	31263	72948
300	31376	72863
301	31486	72773
302	31607	72707
303	31703	72585
304	31774	72403
305	31883	72310
306	31978	72186
307	32078	72071
308	32171	71942
309	32272	71833
310	32369	71712
311	32471	71603
312	32572	71491
313	32684	71406
314	32783	71290
315	32888	71189
316	32990	71080
317	33092	70972
318	33217	70913
319	33309	70782
320	33411	70673
321	33510	70560
322	33633	70493
323	33758	70433
324	33884	70374
325	33989	70272
326	34105	70192
327	34226	70122
328	34340	70037
329	34452	69948
330	34556	69842
331	34658	69733
332	34762	69630
333	34871	69534
334	34974	69427
335	35069	69304
336	35165	69182
337	35260	69061
338	35362	68951
339	35469	68852
340	35578	68757
341	35676	68639
342	35797	68568
343	35895	68451
344	35983	68315
345	36091	68220
346	36199	68122
347	36284	67981
348	36392	67883
349	36482	67753
350	36588	67652
351	36702	67566
352	36797	67443
353	36896	67331
354	36996	67219
355	37106	67125
356	37203	67007
357	37343	66967
358	37431	66834
359	37524	66710
360	37623	66596
361	37711	66463
362	37799	66331
363	37900	66221
364	37984	66083
365	38091	65984
366	38171	65837
367	38270	65724
368	38357	65592
369	38458	65483
370	38578	65406
371	38695	65324
372	38800	65221
373	38919	65143
374	39052	65086
375	39162	64992
376	39280	64912
377	39371	64785
378	39454	64647
379	39557	64540
380	39659	64433
381	39758	64320
382	39870	64229
383	39974	64125
384	40078	64021
385	40180	63913
386	40275	63795
387	40370	63677
388	40477	63577
389	40599	63502
390	40705	63401
391	40813	63301
392	40919	63201
393	41026	63101
394	41124	62988
395	41225	62879
396	41329	62775
397	41431	62667
398	41534	62562
